key,ra,dec,name,host,confirmed_real,confirmed_dwarf,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf
eridanus_4,76.438,-9.515,Eridanus IV,mw,1,1,4.9,0.8,1.1,65.0,8.0,9.0,0.54,0.14,0.1,,Cerny2021ApJ...920L..44C,19.42,0.08,0.01,Cerny2021ApJ...920L..44C,14.72,0.2,0.2,Cerny2021ApJ...920L..44C,-31.5,1.2,1.3,6.1,0.9,1.2,,Heiger2024ApJ...961..234H,0.25,0.06,0.06,-0.1,0.05,0.05,Cerny2021ApJ...920L..44C,-2.87,0.07,0.08,0.2,0.09,0.09,,Heiger2024ApJ...961..234H,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.700000000000001,0.2,0.2,4.1130299956639815,76.5596606911257,2.7692376782155463,0.3533833375354476,209.49865352981547,-27.77154647102129,20.788387240938352,-28.358775752064858,-68.00738517914935,82.97642022804085,764.9812508350957,380.61971969991913,82.97642022804085,,,-2.87,0.07,0.08,spectroscopic,-152.0636040725384,-145.67657409222494,2433012.405326468,874460.733457482,1201735.1510886345,,109.23179399787493,22.533393347965642,19.966150682717696,72.54771091132218,16.696435424145463,17.32109876380686,28.173731080852765
fornax_1,39.9583,-34.4997,Fornax,mw,1,1,19.9,0.06,0.06,42.7,0.3,0.3,0.29,0.002,0.002,,Wang2019ApJ...881..118W,20.77,0.048,0.048,Oakes2022ApJ...929..116O,7.377,0.2,0.2,Munoz2018ApJ...860...66M,55.2,0.1,0.1,12.1,0.2,0.2,,Walker2009AJ....137.3100W,0.381,0.001,0.001,-0.359,0.002,0.002,Pace2022ApJ...940..136P,-1.07,0.01,0.02,0.27,0.01,0.01,,Simon2019ARA&A..57..375S,17.6,0.2,0.2,69.1,0.4,0.4,Munoz2018ApJ...860...66M,,,,,,,,,,,,,,,,,,,0.75,Putman2021ApJ...913...53P,-13.393,0.2,0.2,7.590229995663981,142.5607593602188,3.1167054730727273,3.186366765434002,237.23818769374955,-65.67407928340758,-10.06434155153849,-122.74547987843847,-71.80408280806903,144.5881999015748,765.4871335541694,390.4996848523871,144.5881999015748,,3.555236549506764,-1.07,0.01,0.02,spectroscopic,-39.84079271376456,-30.0826463995884,94639897.16766387,3664503.1521917433,3754291.1798319966,,825.3317247517098,18.197306862014102,18.334763707214165,694.6670580472206,15.05665490558215,16.4271014431921,24.38647949872424
grus_1,344.166,-50.168,Grus I,mw,1,1,4.16,0.74,0.54,153.0,7.0,8.0,0.44,0.1,0.08,,Cantu2021ApJ...916...81C,20.51,0.1,0.1,MartinezVazquez2019MNRAS.490.2183M,16.38,0.3,0.3,Cantu2021ApJ...916...81C,-143.5,1.2,1.2,2.5,0.8,1.3,,Chiti2022ApJ...939...41C,0.069,0.05,0.051,-0.248,0.072,0.071,Pace2022ApJ...940..136P,-2.62,0.11,0.11,,,,0.44,Chiti2022ApJ...939...41C,,,,,,,,2.08,0.87,0.87,1.33,0.31,0.31,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.65,Putman2021ApJ...913...53P,-4.130000000000003,0.3,0.3,3.8850299956639827,126.47363474711523,5.692251236437258,5.960518772351463,338.679425988801,-58.2366098781317,-62.025525223903166,-109.54142780381937,12.210245761092754,122.69506466023478,795.8727388902114,417.18805099765797,122.69506466023478,,3.3890886427579203,-2.62,0.11,0.11,spectroscopic,-190.79570457036084,-193.09984074731597,646315.217174961,431422.6716374321,699361.8407025945,,151.25493431932358,22.368672403391002,24.14123258136638,113.9152970474067,20.68767173557835,19.8555954119566,29.723522809678
grus_2,331.025,-46.442,Grus II,mw,1,1,5.9,0.5,0.5,,,,,,,0.21,Simon2020ApJ...892..137S,18.71,0.1,0.1,MartinezVazquez2019MNRAS.490.2183M,15.21,0.3,0.3,Simon2020ApJ...892..137S,-110.0,0.5,0.5,,,,2.0,Simon2020ApJ...892..137S,0.384,0.033,0.033,-1.484,0.04,0.039,Pace2022ApJ...940..136P,-2.51,0.11,0.11,,,,0.45,Simon2020ApJ...892..137S,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,Putman2021ApJ...913...53P,-3.5,0.3,0.3,3.6330299956639815,55.20774392807573,2.484757785793512,2.6018608124961418,351.13858208824547,-51.941425341034325,-28.291885730572748,-45.28778433420014,14.01716025217561,50.6716462820894,782.5575072094705,396.31261235138555,50.6716462820894,,2.6343265364987074,-2.51,0.11,0.11,spectroscopic,-131.5914006899991,-132.58711648433217,,,,352469.11553544685,94.45005769989444,8.63324934576498,9.420892444695923,94.48819056400686,8.722347287369871,9.211360151418717,29.94749870373771
hercules_1,247.7722,12.7852,Hercules,mw,1,1,5.63,0.46,0.46,-73.0,2.0,2.0,0.69,0.03,0.03,,Munoz2018ApJ...860...66M,20.58,0.1,0.1,MutluPakdil2020ApJ...902..106M,14.773,0.17,0.17,Munoz2018ApJ...860...66M,45.0,1.1,1.1,5.1,0.9,0.9,,Simon2007ApJ...670..313S,-0.035,0.042,0.042,-0.339,0.036,0.035,Pace2022ApJ...940..136P,-2.47,0.12,0.13,0.47,0.08,0.11,,Simon2019ARA&A..57..375S,3.29,0.54,0.54,39.9,4.7,4.7,Munoz2018ApJ...860...66M,5.99,0.58,0.58,1.19,0.17,0.17,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.37,Putman2021ApJ...913...53P,-5.806999999999999,0.17,0.17,4.555829995663981,130.61708881318404,5.878737388889974,6.155793746400917,28.72766811873902,36.856277133673295,-33.40834516944524,66.96805821899629,107.05132199766393,125.05221555014646,819.01662664485,439.61891493692343,125.05221555014646,,3.1723770101820583,-2.47,0.12,0.13,spectroscopic,153.1722479981076,141.26956583364603,2831980.04770719,932044.8470350949,1209461.8651575525,,213.12599786863558,19.852472567576143,20.631148834939893,118.22834556947082,11.195706475424089,13.238645459655558,28.127220630616403
horologium_1,43.8755,-54.1174,Horologium I,lmc,1,1,1.61,0.13,0.13,44.0,6.0,6.0,0.27,0.05,0.05,,Richstein2024ApJ...967...72R,19.5,0.1,0.1,Koposov2015ApJ...805..130K,16.12,0.09,0.06,Richstein2024ApJ...967...72R,112.8,2.6,2.5,4.9,0.9,2.8,,Koposov2015ApJ...811...62K,0.847,0.035,0.034,-0.607,0.035,0.035,Pace2022ApJ...940..136P,-2.76,0.1,0.1,0.17,0.03,0.2,,Koposov2015ApJ...811...62K,,,,,,,,1.54,0.34,0.34,0.98,0.47,0.47,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.51,Putman2021ApJ...913...53P,-3.379999999999999,0.09,0.06,3.585029995663981,79.43282347242821,3.5750659695098506,3.743553637838872,271.3897126111535,-54.73687506653655,-31.86777650044671,-60.83328792147829,-39.91652973871904,79.7337621349307,793.2858864126013,408.83644123424386,38.78465504597273,,2.879745462213001,-2.76,0.1,0.1,spectroscopic,-35.122911276208654,-51.1223584368024,702577.2199477123,423899.95383440825,662125.3050356912,,36.994376128478955,3.3714778012175444,3.275237520534006,31.668765620295698,3.1026798185826046,3.152946801457883,27.693768726224185
horologium_2,49.131,-50.009,Horologium II,mw,1,0,1.69,0.17,0.18,103.0,14.0,11.0,0.23,0.08,0.07,,Richstein2024ApJ...967...72R,19.46,0.2,0.2,Kim2015ApJ...808L..39K,17.39,0.1,0.1,Richstein2024ApJ...967...72R,,,,,,,,,0.967,0.171,0.173,-0.771,0.23,0.22,Pace2022ApJ...940..136P,,,,,,,,,,,,,,,,2.83,1.31,1.31,1.09,0.37,0.37,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.54,Putman2021ApJ...913...53P,-2.0700000000000003,0.1,0.1,3.0610299956639815,77.98301105232593,6.861659686992979,7.523660236142476,262.4593287760436,-54.14303980399457,-26.25905864381043,-58.70512276752594,-44.1080538312202,79.02335924943787,789.9458718098797,405.44946513575695,79.02335924943787,,2.8885690459380333,,,,,,,,,,,37.83490998593601,5.150465355898163,5.487600077638646,33.55697288060727,4.905493221673961,4.87279165477878,29.12952691267639
hydra_2,185.4286,-31.9728,Hydra II,mw,1,1,1.52,0.28,0.28,16.0,25.0,25.0,0.24,0.16,0.16,,Munoz2018ApJ...860...66M,20.9,0.11,0.11,Vivas2016AJ....151..118V,15.8,0.22,0.11,Richstein2024ApJ...967...72R,303.1,1.4,1.4,,,,4.5,Kirby2015ApJ...810...56K,-0.394,0.14,0.14,0.0,0.104,0.103,Pace2022ApJ...940..136P,-2.02,0.08,0.08,0.4,0.26,0.48,,Kirby2015ApJ...810...56K,,,,,,,,1.5,0.32,0.32,1.2,0.46,0.46,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.6,Putman2021ApJ...913...53P,-5.099999999999998,0.22,0.11,4.273029995663981,151.35612484362073,7.476267018036367,7.864747861496255,295.6184145143678,30.476498747300045,-121.15661983743338,81.62038639097575,-39.596243794496075,148.52094110303622,925.5992865897531,537.7324196294238,148.52094110303622,,3.5103265364987073,-2.02,0.08,0.08,spectroscopic,120.99392944827088,41.13853019753782,,,,1098713.5420712226,66.8626926631962,12.963513624110519,11.810124232526704,56.3084966491772,11.549846892051015,13.187112548600865,27.223482724349452
hydrus_1,37.389,-79.3089,Hydrus I,lmc,1,1,7.42,0.54,0.62,97.0,14.0,14.0,0.21,0.07,0.15,,Koposov2018MNRAS.479.5343K,17.2,0.04,0.04,Koposov2018MNRAS.479.5343K,12.49,0.08,0.08,Koposov2018MNRAS.479.5343K,80.4,0.6,0.6,2.7,0.43,0.51,,Koposov2018MNRAS.479.5343K,3.781,0.016,0.016,-1.496,0.015,0.015,Pace2022ApJ...940..136P,-2.52,0.09,0.09,0.41,0.08,0.08,,Koposov2018MNRAS.479.5343K,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,Putman2021ApJ...913...53P,-4.709999999999999,0.08,0.08,4.117029995663981,27.542287033381633,0.5027033922931707,0.5120493461354698,297.4162737697785,-36.74629169957445,-20.74456897129369,-15.548587026696683,-9.2995631455279,25.68023141421986,791.0145757011235,403.20274912343126,23.920227285969762,,2.084684198821299,-2.52,0.09,0.09,spectroscopic,-94.18909092067176,-136.41367750562299,354022.78860229196,115930.53696639312,141205.5344865499,,59.34496104398744,4.845491575283241,4.949517067364823,52.279451317683595,5.71958448976909,5.752144907041242,27.45226565879055
leo_1,152.1146,12.3059,Leo I,mw,1,1,3.65,0.03,0.03,78.0,1.0,1.0,0.3,0.1,0.1,,Munoz2018ApJ...860...66M,22.06,0.08,0.08,Stetson2014PASP..126..616S,10.24,0.28,0.28,Munoz2018ApJ...860...66M,282.9,0.5,0.5,9.2,0.4,0.4,,Mateo2008ApJ...675..201M,-0.111,0.004,0.004,-0.063,0.005,0.005,Bennet2024ApJ...971...98B,-1.48,0.01,0.02,0.26,0.01,0.01,,Simon2019ARA&A..57..375S,3.6,0.1,0.1,13.5,0.3,0.3,Munoz2018ApJ...860...66M,3.3,0.03,0.03,0.77,0.02,0.02,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.23,Spekkens2014ApJ...795L...5S,-11.819999999999999,0.28,0.28,6.961029995663981,258.22601906345955,9.3402872352205,9.690813418443042,225.98469978313517,49.10998911535569,4.086588843770346,212.62650837342184,-146.47165135244194,262.02022283862243,918.1905620584192,551.5558231751208,262.02022283862243,,3.557903122132657,-1.48,0.01,0.02,spectroscopic,167.29393952900585,125.54436944965738,17988662.44905731,2140248.380278893,2177370.9568873234,,274.2496968168898,9.679645216195127,11.00396355833152,229.1969280375563,19.405505773657296,17.57009198690875,23.55165655390116
leo_2,168.3627,22.1529,Leo II,mw,1,1,2.52,0.03,0.03,38.0,8.0,8.0,0.07,0.01,0.01,,Munoz2018ApJ...860...66M,21.84,0.13,0.13,Bellazzini2005MNRAS.360..185B,12.12,0.04,0.04,Munoz2018ApJ...860...66M,78.5,0.6,0.6,7.4,0.4,0.4,,Spencer2017ApJ...836..202S,-0.13,0.009,0.009,-0.143,0.009,0.009,Bennet2024ApJ...971...98B,-1.68,0.03,0.02,0.34,0.02,0.02,,Simon2019ARA&A..57..375S,2.25,0.1,0.1,9.82,0.41,0.41,Munoz2018ApJ...860...66M,2.48,0.03,0.03,0.71,0.02,0.02,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.15,Spekkens2014ApJ...795L...5S,-9.72,0.04,0.04,6.1210299956639815,233.34580622810043,13.559818949617664,14.396399535228198,220.16083076747702,67.22517074776654,11.335771277216987,223.71013464936402,-65.38762290339238,235.87629515326324,894.5479469935385,525.9948756485215,235.87629515326324,,3.284266545170746,-1.68,0.03,0.02,spectroscopic,20.540213227893943,-15.536554752023363,8373434.0384624265,993403.3607690241,1114625.4312754422,,171.22331421059863,10.740650503356477,10.392667051177739,164.89983713837734,10.10408698019927,10.521549924810927,24.936713934166225
leo_4,173.2405,-0.5453,Leo IV,mw,1,1,2.54,0.27,0.27,-28.0,38.0,38.0,0.17,0.09,0.09,,Munoz2018ApJ...860...66M,20.9,0.06,0.06,Medina2018ApJ...855...43M,15.95,0.26,0.26,Munoz2018ApJ...860...66M,131.6,1.2,1.0,3.4,0.9,1.3,,Jenkins2021ApJ...920...92J,-0.1921,0.0514,0.0514,-0.0686,0.0523,0.0523,Julio2024A&A...687A.212J,-2.48,0.13,0.16,0.42,0.1,0.12,,Jenkins2021ApJ...920...92J,2.14,0.82,0.82,11.9,3.1,3.1,Munoz2018ApJ...860...66M,2.61,0.31,0.31,0.86,0.26,0.26,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.43,Putman2021ApJ...913...53P,-4.949999999999999,0.26,0.26,4.213029995663981,151.35612484362073,4.1248746003487895,4.24043831688644,265.45765841719924,56.505970551545964,-51.524311602679845,132.6921282974698,-51.44629169760908,151.92794354731902,891.8732153431113,508.438697070286,151.92794354731902,,3.36564374169465,-2.48,0.13,0.16,spectroscopic,2.4156162061753435,-59.23740860218885,1090170.2548916142,599789.4099381738,830776.7752343556,,111.2157542403215,11.560786250859962,12.924505787855438,99.95865045602683,11.234122330659375,13.347782123134948,28.61971476671892
leo_5,172.7857,2.2194,Leo V,mw,1,1,1.0,0.32,0.32,-71.0,26.0,26.0,0.43,0.22,0.22,,Munoz2018ApJ...860...66M,21.14,0.06,0.06,Medina2018ApJ...855...43M,16.74,0.36,0.36,Munoz2018ApJ...860...66M,173.1,0.8,1.0,,,,4.7,Jenkins2021ApJ...920...92J,0.1186,0.1943,0.1943,-0.1183,0.1704,0.1704,Julio2024A&A...687A.212J,-2.29,0.17,0.14,0.3,0.09,0.14,,Jenkins2021ApJ...920...92J,0.44,0.19,0.19,9.27,5.85,5.85,Munoz2018ApJ...860...66M,1.0,0.22,0.22,1.7,0.36,0.36,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.054,Spekkens2014ApJ...795L...5S,-4.400000000000002,0.36,0.36,3.9930299956639823,169.04409316432634,4.606920842833091,4.735989710611278,261.8564384844363,58.53443227730529,-49.96171479842123,151.31694306258714,-56.417330939565105,169.83791225276684,901.1160296883389,519.2584373621058,169.83791225276684,,2.560569045938032,-2.29,0.17,0.14,spectroscopic,51.87509476868051,-7.145153308182472,,,,762679.739342055,49.18107633398131,17.01853311195029,16.12616466541334,35.35250017685152,14.057131812437795,14.053156355766944,26.91271379596329
leo_6,171.077,24.874,Leo VI,mw,1,1,4.17,1.33,1.14,63.0,13.0,20.0,0.54,0.29,0.19,,Tan2024arXiv240800865T,20.23,0.07,0.13,Tan2024arXiv240800865T,16.67,0.37,0.47,Tan2024arXiv240800865T,170.75,1.65,1.9,3.6,1.39,1.99,,Tan2024arXiv240800865T,-0.05,0.19,0.2,-0.22,0.17,0.22,Tan2024arXiv240800865T,-2.41,0.24,0.16,0.33,0.14,0.19,,Tan2024arXiv240800865T,,,,,,,,,,,,,,,,,,Tan2024arXiv240800865T,,,,,,,,,,-3.5599999999999987,0.37,0.47,3.657029995663981,111.1731727281592,3.5266513651757094,6.8588908370137744,214.5987323534768,70.31779882020581,8.277225035944086,108.061581699826,-24.77208995384302,113.69304630304198,823.353496850314,440.9933427482672,113.69304630304198,,,-2.41,0.24,0.16,spectroscopic,127.52924902779998,94.36501147527231,956032.0908524777,718484.7391225457,1398296.1376118069,,136.49445054362909,44.63239251321298,37.738515105365565,86.31851088874653,32.380203315415564,41.01188303071011,29.6911324235465
leo_minor_1,164.261,28.875,Leo Minor I,mw,1,0,1.09,0.35,0.37,,,,,,,0.4,Cerny2023ApJ...953....1C,19.56,0.19,0.11,Cerny2023ApJ...953....1C,17.16,0.4,0.5,Cerny2023ApJ...953....1C,,,,,,,,,-0.01,0.4,0.39,-1.29,0.4,0.37,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3999999999999986,0.4,0.5,3.1930299956639807,81.65823713585922,6.841287084743854,4.243115014680214,202.23237838493807,64.74963315316045,14.796985264733982,76.87846802209994,-23.21245514344441,85.19274192108325,802.2326576242141,417.68818939097156,85.19274192108325,,,,,,,,,,,,,25.470516711080993,8.210952693314056,8.965667484155784,25.477495115052275,8.353471245692592,8.94431642085748,28.201396726544928
lmc,80.894,-69.7561,LMC,mw,1,1,192.9,0.2,0.2,227.24,0.178,0.188,0.164,0.001,0.001,,Choi2018ApJ...869..125C,18.477,0.024,0.024,Pietrzynski2019Natur.567..200P,0.4,0.1,0.1,deVaucouleurs1991rc3..book.....D,262.2,3.4,3.4,20.2,0.5,0.5,,vanderMarel2002AJ....124.2639V,1.91,0.02,0.02,0.229,0.047,0.047,Kallivayalil2013ApJ...764..161K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750658.0,6527.0,6527.0,,Bruns2005A&A...432...45B,-18.077,0.1,0.1,9.463829995663984,49.59067275049043,0.5450786059793984,0.5511364525990459,280.4652211325739,-32.888460522854245,-33.29897326859279,-24.01166432913415,-27.81821667988018,49.01360228803535,803.6671969568935,416.5461291732077,49.01360228803535,8.638417403488692,,,,,,57.13620799580363,11.70513006849103,965618691.3913846,48507604.78662562,49663453.32713938,,2781.124608709765,28.99259127183359,31.522149300701585,2543.9151347905818,29.943094079238108,29.17543344067144,22.51922367478753
pegasus_3,336.1074167,5.4150472,Pegasus III,mw,1,1,1.67,0.21,0.26,83.0,7.0,8.0,0.37,0.09,0.08,,Richstein2022ApJ...933..217R,21.66,0.12,0.12,Kim2016ApJ...833...16K,17.49,0.22,0.19,Richstein2022ApJ...933..217R,-222.9,2.6,2.6,5.4,2.5,3.0,,Kim2016ApJ...833...16K,-0.03,0.21,0.21,-0.58,0.208,0.213,Pace2022ApJ...940..136P,-2.55,0.15,0.15,,,,,Kim2016ApJ...833...16K,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,Putman2021ApJ...913...53P,-4.170000000000002,0.22,0.19,3.9010299956639822,214.7830474130533,11.547346319431199,12.203437775328808,69.85989727072067,-41.82623427259285,61.22242529877246,-158.64125619389262,131.211752254887,212.8439462275805,649.9909581426277,289.2381167071736,212.8439462275805,,3.5275369799493363,-2.55,0.15,0.15,spectroscopic,-52.95519350254622,7.801760918955068,2188867.590076999,1678812.1985405036,2908790.4163943706,,103.51392798820558,14.42344800365153,15.064747138282485,81.96406637313216,13.149177642764371,15.341273078507811,28.968730538298473
pegasus_4,328.539,26.62,Pegasus IV,mw,1,1,1.6,0.25,0.29,115.0,41.0,27.0,,,,0.41,Cerny2023ApJ...942..111C,19.77,0.03,0.03,Cerny2023ApJ...942..111C,15.52,0.2,0.2,Cerny2023ApJ...942..111C,-273.6,1.5,1.6,3.3,1.1,1.7,,Cerny2023ApJ...942..111C,0.33,0.07,0.07,-0.21,0.08,0.08,Cerny2023ApJ...942..111C,-2.67,0.29,0.25,0.46,0.17,0.29,,Cerny2023ApJ...942..111C,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.25,0.2,0.2,3.9330299956639814,89.94975815300347,1.2341569492074882,1.2513257825875002,80.79715668463335,-21.403105576428658,46.13394974028671,-40.31961286744912,65.85549704742608,89.10307759396059,706.9680134647826,321.3915789241301,89.10307759396059,,,-2.67,0.29,0.25,spectroscopic,-48.79913117431781,21.30351789910111,415371.23060662835,278391.703373396,460920.10613734846,,41.466894272730684,7.173038569551373,7.01005070554379,41.88061922613981,7.346813152222879,7.292277195886776,27.43067847672211
phoenix_2,354.9919,-54.4019,Phoenix II,lmc,1,1,1.5,0.17,0.2,-33.0,5.0,5.0,0.44,0.06,0.06,,Richstein2024ApJ...967...72R,19.6,0.2,0.2,MutluPakdil2018ApJ...863...25M,17.0,0.09,0.13,Richstein2024ApJ...967...72R,32.4,3.75,3.75,,,,21.2,Fritz2019A&A...623A.129F,0.507,0.048,0.047,-1.199,0.057,0.058,Pace2022ApJ...940..136P,-2.51,0.17,0.19,0.33,0.16,0.29,,Fritz2019A&A...623A.129F,,,,,,,,1.61,0.27,0.27,1.14,0.27,0.27,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.51,Putman2021ApJ...913...53P,-2.6000000000000014,0.09,0.13,3.273029995663982,83.17637711026708,7.318619607348566,8.02470682532389,323.6963295536009,-59.75064564196423,-41.646123556337265,-71.92277223818077,-3.3203818296129253,80.2231293677694,790.1494637628709,406.1632825778676,54.45450478472346,,2.919745462213,-2.51,0.17,0.19,spectroscopic,-42.33647957274065,-49.14815541575208,,,,11351834.743676249,36.02868187362015,5.959643625811793,5.739582039670857,27.229476516697382,4.377638034367536,4.321457836871804,28.145809545286525
pictor_1,70.9475,-50.28305556,Pictor I,mw,1,0,1.29,0.15,0.15,55.0,6.0,6.0,0.44,0.09,0.07,,Moskowitz2020ApJ...892...27M,20.3,0.1,0.1,Koposov2015ApJ...805..130K,17.2,0.3,0.3,Koposov2015ApJ...805..130K,,,,,,,,,0.153,0.088,0.086,0.096,0.114,0.118,Pace2022ApJ...940..136P,,,,,,,,,,,,,,,,0.66,0.32,0.32,1.51,0.31,0.31,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.61,Putman2021ApJ...913...53P,-3.1000000000000014,0.3,0.3,3.473029995663982,114.8153621496884,5.16754253536989,5.411081312052914,257.2989820207084,-40.645008206054634,-43.46509592633995,-66.02171723941322,-83.27355927566163,116.44599612089551,814.683169922339,433.3428003991596,116.44599612089551,,3.277505121125832,,,,,,,,,,,42.778643747434984,5.432297918354195,5.415376575019508,32.07796901185658,4.386958922605338,4.614006796344356,28.00164742311015
pictor_2,101.18,-59.897,Pictor II,mw,1,0,3.8,1.0,1.5,14.0,66.0,60.0,0.13,0.13,0.22,,DrlicaWagner2016ApJ...833L...5D,18.3,0.15,0.12,DrlicaWagner2016ApJ...833L...5D,15.1,0.5,0.4,DrlicaWagner2016ApJ...833L...5D,,,,,,,,,1.15,0.06,0.06,1.14,0.05,0.06,Battaglia2022A&A...657A..54B,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,0.3,0.3,DrlicaWagner2016ApJ...833L...5D,,,,0.58,Putman2021ApJ...913...53P,-3.200000000000001,0.5,0.4,3.513029995663982,45.708818961487516,3.050867081328171,2.5970612424897723,269.63296382624173,-24.05200365416436,-28.071710011293003,-15.115661124954654,-32.75350388357629,46.47156787842776,803.3501266903494,416.01796054437875,46.47156787842776,,2.4556032796780016,-1.8,0.3,0.3,photometric,,,,,,,49.69519293367823,17.460759610834238,17.625101049091327,45.154431510141876,14.588823604055339,16.557257292718923,28.644114350289737
pisces_2,344.6364583,5.9555444,Pisces II,mw,1,1,1.34,0.07,0.08,98.0,3.0,3.0,0.37,0.03,0.04,,Richstein2022ApJ...933..217R,21.31,0.17,0.17,Sand2012ApJ...756...79S,17.03,0.16,0.19,Richstein2022ApJ...933..217R,-226.5,2.7,2.7,5.4,2.4,3.6,,Kirby2015ApJ...810...56K,0.681,0.307,0.309,-0.645,0.209,0.215,Pace2022ApJ...940..136P,-2.45,0.07,0.07,0.48,0.29,0.7,,Kirby2015ApJ...810...56K,0.72,0.58,0.58,7.65,2.69,2.69,Munoz2018ApJ...860...66M,1.22,0.2,0.2,1.12,0.34,0.34,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.2,Putman2021ApJ...913...53P,-4.279999999999998,0.16,0.19,3.9450299956639805,182.8100216142741,13.76592844994775,14.886942396912104,79.2174810989727,-47.10789166882649,65.65363755887404,-144.75415183834446,90.30691780512097,181.95424342879667,652.6328496796846,281.1098828600195,181.95424342879667,,3.1972052817790444,-2.45,0.07,0.07,spectroscopic,-66.34839245742205,-1.9760549248651103,1548192.63659253,1225010.4498791664,2141185.762775504,,70.97812472252758,6.644099671119903,7.278010647661006,56.0231226116983,5.22907067360358,5.993466043299222,28.032449653210023
reticulum_2,53.9203,-54.0513,Reticulum II,lmc,1,1,6.3,0.4,0.4,68.0,2.0,2.0,0.6,0.1,0.1,,MutluPakdil2018ApJ...863...25M,17.5,0.1,0.1,MutluPakdil2018ApJ...863...25M,14.4,0.1,0.1,MutluPakdil2018ApJ...863...25M,64.3,1.2,1.2,3.6,0.7,1.0,,Walker2015ApJ...808..108W,2.377,0.024,0.023,-1.379,0.025,0.026,Pace2022ApJ...940..136P,-2.65,0.07,0.07,0.28,0.09,0.09,,Simon2015ApJ...808...95S,,,,,,,,5.59,0.21,0.21,0.6,0.05,0.05,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.6,Putman2021ApJ...913...53P,-3.0999999999999996,0.1,0.1,3.4730299956639814,31.622776601683793,1.4232593976636636,1.4903355465753556,266.3006675822484,-49.73761354161472,-12.842476024820572,-22.23433775118083,-18.4581969411512,32.975545355566396,783.5750777837562,396.0258235805202,22.566283228714365,,2.1503265364987074,-2.65,0.07,0.07,spectroscopic,-100.57261676013205,-121.21787077167922,435565.36675705086,188079.81833839222,237776.80988706264,,57.847724985755605,4.607287858487943,4.563537837926333,36.06269406297388,5.464982316279404,5.001889617904062,28.25590305850274
